year,name,fraction,sex,rank
2009,Genesis,0.001812,f,83
2009,Cooper,0.002392,m,84
2009,Payton,0.0018,f,84
2009,Levi,0.002367,m,85
2009,Bailey,0.001799,f,85
2009,Josiah,0.002365,m,86
2009,Angelina,0.001796,f,86
2009,Carson,0.002357,m,87
2009,Caroline,0.00179,f,87
2009,Ayden,0.002356,m,88
2009,Mariah,0.001778,f,88
2009,Blake,0.002334,m,89
2009,Rachel,0.001772,f,89
2009,Eli,0.002317,m,90
2009,Katelyn,0.001764,f,90
2009,Hayden,0.002295,m,91
2009,Vanessa,0.001738,f,91
2009,Bryan,0.00229,m,92
2009,Molly,0.001733,f,92
2009,Colton,0.002249,m,93
2009,Melanie,0.001722,f,93
2009,Brian,0.002195,m,94
2009,Serenity,0.00172,f,94
2009,Eric,0.00219,m,95
2009,Khloe,0.001708,f,95
2009,Parker,0.002181,m,96
2009,Gabrielle,0.00169,f,96
2009,Sean,0.002046,m,97
2009,Mya,0.001685,f,97
2009,Oliver,0.002022,m,98
2009,Paige,0.001685,f,98
2009,Kyle,0.00197,m,99
2009,Eva,0.001676,f,99
2009,Miguel,0.001967,m,100
2009,Isabelle,0.001633,f,100
2009,Jaden,0.001966,m,101
2009,Lucy,0.001571,f,101
2009,Kaden,0.001916,m,102
2009,Mary,0.001565,f,102
2009,Caden,0.001897,m,103
2009,Natalia,0.001537,f,103
2009,Max,0.001866,m,104
2009,Michelle,0.001521,f,104
2009,Antonio,0.001845,m,105
2009,Megan,0.00151,f,105
2009,Steven,0.001805,m,106
2009,Sara,0.001503,f,106
2009,Riley,0.001787,m,107
2009,Naomi,0.001501,f,107
2009,Kaleb,0.001785,m,108
2009,Ruby,0.001492,f,108
2009,Timothy,0.001776,m,109
2009,Jennifer,0.001476,f,109
2009,Brady,0.001765,m,110
2009,Isabel,0.001473,f,110
2009,Bryce,0.001749,m,111
2009,Sadie,0.001469,f,111
2009,Jesse,0.001735,m,112
2009,Stephanie,0.001444,f,112
2009,Colin,0.001724,m,113
2009,Jada,0.001432,f,113
2009,Richard,0.001703,m,114
2009,Gracie,0.001415,f,114
2009,Ashton,0.00168,m,115
2009,Kennedy,0.001414,f,115
2009,Joel,0.00168,m,116
2009,Lilly,0.001399,f,116
2009,Victor,0.001671,m,117
2009,Rylee,0.001398,f,117
2009,Micah,0.00167,m,118
2009,Lydia,0.001396,f,118
2009,Vincent,0.001647,m,119
2009,Nicole,0.001368,f,119
2009,Preston,0.001633,m,120
2009,Liliana,0.00131,f,120
2009,Alejandro,0.001623,m,121
2009,Jenna,0.001301,f,121
2009,Nolan,0.001621,m,122
2009,London,0.001299,f,122
2009,Marcus,0.001607,m,123
2009,Haley,0.001295,f,123
2009,Jaxon,0.0016,m,124
2009,Jordyn,0.001278,f,124
2009,Devin,0.001596,m,125
2009,Adriana,0.00127,f,125
2009,Jake,0.001596,m,126
2009,Stella,0.001265,f,126
2009,Damian,0.001579,m,127
2009,Reagan,0.001254,f,127
2009,Eduardo,0.001573,m,128
2009,Jayla,0.001253,f,128
2009,Patrick,0.001533,m,129
