alpha,black_time_decay,white_time_decay,hispanic_time_decay
traditional,"[0.5485714285714286, 0.5257142857142857, 0.49390243902439024, 0.4601226993865031, 0.5, 0.2727272727272727, 0.5217391304347826, 0.47183098591549294, 0.4274193548387097, 0.44370860927152317, 0.42857142857142855, 0.2815533980582524, 0.4214876033057851, 0.3697478991596639, 0.3, 0.0, None, None, None, None, None, None, None, None]","[0.2971014492753623, 0.3142857142857143, 0.23846153846153847, 0.22302158273381295, 0.23076923076923078, 0.09090909090909091, 0.24390243902439024, 0.32710280373831774, 0.22018348623853212, 0.21153846153846154, 0.21951219512195122, 0.16417910447761194, 0.21212121212121213, 0.21176470588235294, 0.17333333333333334, 1.0, None, None, None, None, None, None, None, None]","[0.2413793103448276, 0.23684210526315788, 0.2413793103448276, 0.2558139534883721, 0.1, 0.2222222222222222, 0.2222222222222222, 0.25, 0.23333333333333334, 0.06451612903225806, 0.29411764705882354, 0.47619047619047616, 0.09523809523809523, 0.30434782608695654, 0.09090909090909091, 0.0, None, None, None, None, None, None, None, None]"
0.1,"[0.5485714285714286, 0.5277922077922078, 0.49746248294679396, 0.46389631876464915, 0.49580708692937087, 0.36532764384890964, 0.4997553745937468, 0.4723475145425248, 0.43211361671968446, 0.44273465568493175, 0.4308949292378315, 0.2948278242495481, 0.4106651018774202, 0.3738419204806429, 0.30945927588801586, 0.2821274490138671, 0.2821274490138671, 0.2821274490138671, 0.28212744901386705, 0.28212744901386705, 0.282127449013867, 0.282127449013867, 0.28212744901386705, 0.28212744901386705]","[0.2971014492753623, 0.3122895622895623, 0.24464336058641106, 0.22502415332793696, 0.23010411218965102, 0.14318594409381502, 0.2359325886547028, 0.32346071834263174, 0.2297639638131597, 0.21342590384891663, 0.21875782842941374, 0.16774261079195923, 0.2065077072185426, 0.21114622254120544, 0.17763737111756053, 0.2645372368330309, 0.2645372368330309, 0.2645372368330309, 0.2645372368330309, 0.2645372368330309, 0.2645372368330309, 0.2645372368330309, 0.2645372368330309, 0.2645372368330309]","[0.2413793103448276, 0.23716381418092908, 0.24085826533695978, 0.25474529789025896, 0.12069279169758801, 0.2058403519716872, 0.2190677649435342, 0.2489588280447964, 0.23488664994570194, 0.08104715677001953, 0.2583181406772891, 0.4568711591141366, 0.13099635525392486, 0.2883992630966961, 0.10498756866160372, 0.08193012267815619, 0.08193012267815618, 0.08193012267815619, 0.08193012267815619, 0.08193012267815619, 0.0819301226781562, 0.0819301226781562, 0.08193012267815622, 0.0819301226781562]"
0.3,"[0.5485714285714286, 0.530989010989011, 0.5048008611410119, 0.47350166541312994, 0.49109900025264375, 0.43413747209978576, 0.4758506259287228, 0.4722031951202458, 0.43971833320505055, 0.4426969731826641, 0.4344960973949731, 0.32689706576304683, 0.3962964047433296, 0.3775443999673434, 0.32788701073660526, 0.3202905071762742, 0.3202905071762742, 0.3202905071762742, 0.3202905071762743, 0.3202905071762742, 0.3202905071762743, 0.3202905071762742, 0.3202905071762743, 0.3202905071762742]","[0.2971014492753623, 0.30942622950819676, 0.2563822447102116, 0.23212641754195087, 0.231215673049128, 0.1896745935447335, 0.2248030517467742, 0.31168525227389654, 0.2437428356518305, 0.2211186779387682, 0.2200765937856648, 0.17650917215508943, 0.1999230454111389, 0.20765537278748522, 0.18508536579039417, 0.2082261070846105, 0.2082261070846105, 0.2082261070846105, 0.20822610708461048, 0.20822610708461048, 0.20822610708461053, 0.20822610708461053, 0.2082261070846105, 0.20822610708461053]","[0.2413793103448276, 0.23768736616702354, 0.24017670309230413, 0.2522047117328229, 0.1545768843447528, 0.19259024072414235, 0.2069210684654154, 0.24360075397546796, 0.23613803365362135, 0.11350137666086114, 0.21580034734603779, 0.39804658175737406, 0.18609001136110434, 0.27108675888924705, 0.13151290011925257, 0.12196917309652275, 0.12196917309652275, 0.12196917309652275, 0.12196917309652273, 0.12196917309652272, 0.12196917309652272, 0.12196917309652272, 0.12196917309652272, 0.1219691730965227]"
0.5,"[0.5485714285714286, 0.5333333333333333, 0.5114309906858594, 0.48450704225352115, 0.491796292350309, 0.46322030757828425, 0.4757606638520891, 0.4729087642243961, 0.4474810262550846, 0.44530614984228306, 0.43876665591480896, 0.36183278004737146, 0.39373805543895013, 0.38143910808430076, 0.34586925388430684, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334]","[0.2971014492753623, 0.3074712643678161, 0.2661290322580645, 0.24191919191919192, 0.2365005192107996, 0.2140035118525022, 0.22493036211699163, 0.2919620616976432, 0.2509020090200902, 0.23035833300662564, 0.22546183788898685, 0.18893507779718002, 0.1997928243788196, 0.20512887805552496, 0.19113044113832348, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958]","[0.2413793103448276, 0.23809523809523808, 0.2398190045248869, 0.24955752212389382, 0.18086124401913875, 0.19555829734731647, 0.20254893035958124, 0.23343397425711107, 0.23337865884205253, 0.14357513821410622, 0.19903498190591074, 0.3310953789565815, 0.21600662593531772, 0.2616474678702361, 0.1596847680217371, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388]"
0.7,"[0.5485714285714286, 0.535126050420168, 0.51696440564137, 0.495090597887033, 0.4966498466637131, 0.48154553823488605, 0.485224128451255, 0.47924193168910273, 0.46069862183267224, 0.4541802400444386, 0.44819661697980717, 0.3997993383233305, 0.40690625348533266, 0.3951921410701983, 0.37100687690673545, 0.36951668143391186, 0.36951668143391186, 0.3695166814339119, 0.3695166814339119, 0.3695166814339119, 0.3695166814339119, 0.3695166814339119, 0.3695166814339119, 0.36951668143391186]","[0.2971014492753623, 0.3060515873015874, 0.2736426674535261, 0.25224159326487905, 0.24500473572139675, 0.2322120905573709, 0.23432819706971364, 0.27171025963399276, 0.25266422092841767, 0.23888588156980894, 0.23357792205395586, 0.20650578837160316, 0.20814349649331315, 0.20909757479814078, 0.2001812593838646, 0.20396142835711503, 0.20396142835711506, 0.20396142835711506, 0.20396142835711506, 0.20396142835711506, 0.20396142835711506, 0.20396142835711503, 0.203961428357115, 0.203961428357115]","[0.2413793103448276, 0.23842195540308747, 0.2396504798739435, 0.24721608412161056, 0.2003851255846603, 0.20506367744837428, 0.20734101169553965, 0.22451899808452833, 0.22760715707353465, 0.17201138347652342, 0.1977475188195915, 0.27323545137079125, 0.2235433224374024, 0.24810868712735074, 0.18775900793227196, 0.1846896042453752, 0.18468960424537517, 0.1846896042453752, 0.18468960424537517, 0.18468960424537517, 0.1846896042453752, 0.18468960424537523, 0.1846896042453752, 0.1846896042453752]"
0.9,"[0.5485714285714286, 0.5365413533834587, 0.521446303291959, 0.5042100271586843, 0.5033296587150958, 0.49509304691980577, 0.4961545605309959, 0.49093404775436755, 0.4799870395389305, 0.4731266632847178, 0.46846383413601195, 0.4451393427440091, 0.44182642891066626, 0.43225846428089665, 0.41898569810910097, 0.4184672391152997, 0.41846723911529976, 0.4184672391152997, 0.4184672391152998, 0.4184672391152998, 0.41846723911529976, 0.4184672391152997, 0.41846723911529976, 0.4184672391152997]","[0.2971014492753623, 0.30497382198952877, 0.2792613298441775, 0.2615611386340376, 0.25455871754144127, 0.24713601891744097, 0.24685839116715358, 0.26285402832528476, 0.2549988228270287, 0.24790205610537974, 0.24434900815123345, 0.22950443106572688, 0.22721080838618127, 0.22548392720033608, 0.22033243624046842, 0.2214717524745432, 0.22147175247454323, 0.22147175247454323, 0.2214717524745432, 0.22147175247454323, 0.22147175247454318, 0.22147175247454318, 0.22147175247454315, 0.22147175247454315]","[0.2413793103448276, 0.2386895475819033, 0.23958934133118012, 0.24535411209624777, 0.21396440657102817, 0.21500365560323187, 0.21547537406776898, 0.2225595338950907, 0.22445681179240762, 0.19755721492795753, 0.20653275786401656, 0.23704359436351902, 0.22120698995143293, 0.23115434118525224, 0.20868922348696628, 0.2075697132414823, 0.20756971324148227, 0.2075697132414823, 0.20756971324148227, 0.2075697132414823, 0.20756971324148232, 0.20756971324148235, 0.20756971324148235, 0.20756971324148238]"
1,"[0.5485714285714286, 0.5371428571428571, 0.5233463035019456, 0.5081240768094535, 0.5067484662576687, 0.5005973715651135, 0.5011627906976744, 0.49700598802395207, 0.48934280639431615, 0.4839467501957713, 0.4805290227773696, 0.46653005464480873, 0.4630914826498423, 0.4565727699530516, 0.44871794871794873, 0.44846796657381616, 0.44846796657381616, 0.44846796657381616, 0.44846796657381616, 0.44846796657381616, 0.44846796657381616, 0.44846796657381616, 0.44846796657381616, 0.44846796657381616]","[0.2971014492753623, 0.3045267489711934, 0.28150134048257375, 0.265625, 0.2591414944356121, 0.2534562211981567, 0.25289017341040465, 0.26282853566958697, 0.2577092511013216, 0.25296442687747034, 0.25045703839122485, 0.24104234527687296, 0.23888470233609646, 0.23725212464589235, 0.23402824478816409, 0.23454301075268819, 0.23454301075268819, 0.23454301075268819, 0.23454301075268819, 0.23454301075268819, 0.23454301075268819, 0.23454301075268819, 0.23454301075268819, 0.23454301075268819]","[0.2413793103448276, 0.23880597014925373, 0.23958333333333334, 0.2446043165467626, 0.21893491124260356, 0.2192513368983957, 0.2193877551020408, 0.2236842105263158, 0.2248062015503876, 0.20761245674740483, 0.21241830065359477, 0.22935779816513763, 0.22126436781609196, 0.22641509433962265, 0.21534653465346534, 0.21481481481481482, 0.21481481481481482, 0.21481481481481482, 0.21481481481481482, 0.21481481481481482, 0.21481481481481482, 0.21481481481481482, 0.21481481481481482, 0.21481481481481482]"
