datetime,1D,10D,1W,2W,1M,3M,6M,1Y
1997-09-20,0.8448060075093867,0.776485999672507,,,,,,
1997-09-21,0.7630180658873539,,0.8005747126436782,0.8005747126436782,,,,
1997-09-22,0.6862442040185471,,,,,,,
1997-09-23,0.7351485148514851,,,,,,,
1997-09-24,0.7679856115107914,,,,,,,
1997-09-25,0.775,,,,,,,
1997-09-26,0.7862903225806451,,,,,,,
1997-09-27,0.7898936170212766,,,,,,,
1997-09-28,0.7919463087248322,,0.7634854771784232,,,,,
1997-09-29,0.8185185185185185,,,,,,,
1997-09-30,0.7909090909090909,0.8070615034168565,,,0.7774553230487246,0.7774553230487246,0.7774553230487246,
1997-10-01,0.8159371492704826,,,,,,,
1997-10-02,0.7931034482758621,,,,,,,
1997-10-03,0.776595744680851,,,,,,,
1997-10-04,0.8145065398335315,,,,,,,
1997-10-05,0.7992633517495396,,0.8059910414333706,0.7832833485460947,,,,
1997-10-06,0.8636363636363636,,,,,,,
1997-10-07,0.8194774346793349,,,,,,,
1997-10-08,0.8105726872246696,,,,,,,
1997-10-09,0.803030303030303,,,,,,,
1997-10-10,0.8171641791044776,0.8204130499850344,,,,,,
1997-10-11,0.8538681948424068,,,,,,,
1997-10-12,0.8712871287128713,,0.8296983758700696,,,,,
1997-10-13,0.8323863636363636,,,,,,,
1997-10-14,0.8663793103448276,,,,,,,
1997-10-15,0.8888888888888888,,,,,,,
1997-10-16,0.8089887640449438,,,,,,,
1997-10-17,0.7694704049844237,,,,,,,
1997-10-18,0.7787418655097614,,,,,,,
1997-10-19,0.8666666666666667,,0.8082673702726473,0.8186949650033868,,,,
1997-10-20,0.823170731707317,0.8254249291784702,,,,,,
1997-10-21,0.8040540540540541,,,,,,,
1997-10-22,0.8455497382198953,,,,,,,
1997-10-23,0.8709677419354839,,,,,,,
1997-10-24,0.8493723849372385,,,,,,,
1997-10-25,0.777292576419214,,,,,,,
1997-10-26,0.8217054263565892,,0.8259911894273128,,,,,
1997-10-27,0.7678571428571429,,,,,,,
1997-10-28,0.8888888888888888,,,,,,,
1997-10-29,0.8571428571428571,,,,,,,
1997-10-30,0.8043478260869565,0.7479674796747967,,,,,,
1997-10-31,1.0,,,,0.8170241286863271,,,
1997-11-01,0.8854166666666666,,,,,,,
1997-11-02,0.9081081081081082,,0.8412698412698413,0.8314447592067988,,,,
1997-11-03,0.819672131147541,,,,,,,
1997-11-04,1.0,,,,,,,
1997-11-05,0.7916666666666666,,,,,,,
1997-11-06,0.827054794520548,,,,,,,
1997-11-07,0.7867383512544803,,,,,,,
1997-11-08,0.5881326352530541,,,,,,,
1997-11-09,0.8541666666666666,0.8391553701772679,0.7328951299671348,,,,,
1997-11-10,0.8250377073906485,,,,,,,
1997-11-11,0.889937106918239,,,,,,,
1997-11-12,0.8277661795407099,,,,,,,
1997-11-13,0.8376383763837638,,,,,,,
1997-11-14,0.8253142609449502,,,,,,,
1997-11-15,0.8540268456375839,,,,,,,
1997-11-16,0.8361153262518968,,0.8353280141843972,0.8076145824913104,,,,
1997-11-17,0.8645343367826905,,,,,,,
1997-11-18,0.842506350550381,,,,,,,
1997-11-19,0.8766700924974307,0.85396201702685,,,,,,
1997-11-20,0.879154078549849,,,,,,,
1997-11-21,0.8390212491951062,,,,,,,
1997-11-22,0.8524027459954233,,,,,,,
1997-11-23,0.8616504854368932,,0.8572847212370549,,,,,
1997-11-24,0.8426395939086294,,,,,,,
1997-11-25,0.8777292576419214,,,,,,,
1997-11-26,0.8346666666666667,,,,,,,
1997-11-27,0.8111702127659575,,,,,,,
1997-11-28,0.8427947598253275,,,,,,,
1997-11-29,0.8381294964028777,0.835024154589372,,,,,,
1997-11-30,0.865979381443299,,0.8498203592814372,0.8545081967213115,0.8309694643751043,,,
1997-12-01,0.81438127090301,,,,,,,
1997-12-02,0.7808764940239044,,,,,,,
1997-12-03,0.8451776649746193,,,,,,,
1997-12-04,0.7916666666666666,,,,,,,
1997-12-05,0.9245283018867925,,,,,,,
1997-12-06,0.7837370242214533,,,,,,,
1997-12-07,0.8802083333333334,,0.8208134847929645,,,,,
1997-12-08,0.9090909090909091,,,,,,,
1997-12-09,0.7720588235294118,0.8260869565217391,,,,,,
1997-12-10,0.8292682926829268,,,,,,,
1997-12-11,0.0,,,,,,,
1997-12-12,0.8363095238095238,,,,,,,
1997-12-13,0.8327402135231317,,,,,,,
1997-12-14,0.8482293423271501,,0.8197295943915874,0.8203554803216251,,,,
1997-12-15,0.812111801242236,,,,,,,
1997-12-16,0.0,,,,,,,
1997-12-17,0.825938566552901,,,,,,,
1997-12-18,0.8839662447257384,,,,,,,
1997-12-19,0.8403361344537815,0.8127745860087867,,,,,,
1997-12-20,0.7238493723849372,,,,,,,
1997-12-21,0.8140495867768595,,0.8182055294731351,,,,,
1997-12-22,0.8211091234347049,,,,,,,
1997-12-23,0.7845433255269321,,,,,,,
1997-12-24,0.8819672131147541,,,,,,,
1997-12-25,1.0,,,,,,,
1997-12-26,0.9016393442622951,,,,,,,
1997-12-27,0.7241379310344828,,,,,,,
1997-12-28,0.9295774647887324,,0.8305847076461769,0.8224507283633248,,,,
1997-12-29,0.794921875,0.7916054221786706,,,,,,
1997-12-30,0.7841269841269841,,,,,,,
1997-12-31,0.8180112570356473,,,,0.8192265749517658,0.8248052312406932,,0.8189433477044097
1998-01-01,0.6911764705882353,,,,,,,
1998-01-02,0.7691453940066593,,,,,,,
1998-01-03,0.7322654462242563,,,,,,,
1998-01-04,0.8452380952380952,,0.7899721448467967,,,,,
