,gender,datetime,calculated_value
0,F,1997-09-20,0.7982261640798226
1,F,1997-09-23,0.7419354838709677
2,F,1997-09-26,0.7370304114490162
3,F,1997-09-29,0.7224489795918367
4,F,1997-10-02,0.8376068376068376
5,F,1997-10-05,0.7896551724137931
6,F,1997-10-08,0.7707509881422925
7,F,1997-10-11,0.8238993710691824
8,F,1997-10-14,0.8333333333333334
9,F,1997-10-17,0.8263598326359832
10,F,1997-10-20,0.7848101265822784
11,F,1997-10-23,0.9473684210526315
12,F,1997-10-26,0.7738095238095238
13,F,1997-11-01,0.5
14,F,1997-11-04,0.6578947368421053
15,F,1997-11-07,0.8152173913043478
16,F,1997-11-10,0.7880539499036608
17,F,1997-11-13,0.8360655737704918
18,F,1997-11-16,0.8472468916518651
19,F,1997-11-19,0.8800773694390716
20,F,1997-11-22,0.8793103448275862
21,F,1997-11-25,0.86709886547812
22,F,1997-11-28,0.752851711026616
23,F,1997-12-01,0.806282722513089
24,F,1997-12-04,0.7137096774193549
25,F,1997-12-07,0.7766990291262136
26,F,1997-12-10,
27,F,1997-12-13,0.84
28,F,1997-12-16,0.9022435897435898
29,F,1997-12-19,0.8315789473684211
30,F,1997-12-22,0.8312611012433393
31,F,1997-12-25,0.6
32,F,1997-12-28,0.7556390977443609
33,F,1997-12-31,0.8646153846153846
34,F,1998-01-03,0.7711864406779662
35,F,1998-01-06,0.7866108786610879
36,F,1998-01-09,0.8357142857142857
37,F,1998-01-12,0.7831325301204819
38,F,1998-01-15,0.8140703517587939
39,F,1998-01-18,1.0
40,F,1998-01-21,0.49936628643852976
41,F,1998-01-24,0.7436893203883496
42,F,1998-01-27,0.8823529411764706
43,F,1998-01-30,0.7408963585434174
44,F,1998-02-02,0.7551020408163265
45,F,1998-02-05,0.7101449275362319
46,F,1998-02-08,0.6422764227642277
47,F,1998-02-11,0.7959183673469388
48,F,1998-02-14,0.8538461538461538
49,F,1998-02-17,0.8372434017595308
50,F,1998-02-20,0.6382488479262672
51,F,1998-02-23,1.0
52,F,1998-02-26,0.8430379746835444
53,F,1998-03-01,0.6990291262135923
54,F,1998-03-04,0.8011049723756906
55,F,1998-03-07,0.7486338797814208
56,F,1998-03-10,0.8055555555555556
57,F,1998-03-13,0.688212927756654
58,F,1998-03-16,0.6997389033942559
59,F,1998-03-19,0.5517241379310345
60,F,1998-03-22,0.7192982456140351
61,F,1998-03-25,0.7699619771863118
62,F,1998-03-28,0.7926509186351706
63,F,1998-03-31,0.7134146341463414
64,F,1998-04-03,0.7639484978540773
65,F,1998-04-06,0.8340248962655602
66,F,1998-04-09,0.6938775510204082
67,F,1998-04-12,0.6134185303514377
68,F,1998-04-15,0.725
69,F,1998-04-18,0.7630057803468208
70,F,1998-04-21,0.7363013698630136
71,F,1998-04-21,0.7363013698630136
