,gender,datetime,calculated_value
0,F,1997-09-21,0.7848484848484848
1,F,1997-09-28,0.7529107373868047
2,F,1997-10-05,0.7464953271028038
3,F,1997-10-12,0.815742397137746
4,F,1997-10-19,0.8290322580645161
5,F,1997-10-26,0.7868852459016393
6,F,1997-11-02,0.5
7,F,1997-11-09,0.767175572519084
8,F,1997-11-16,0.8261711188540457
9,F,1997-11-23,0.8739462063428342
10,F,1997-11-30,0.832800851970181
11,F,1997-12-07,0.7742424242424243
12,F,1997-12-14,0.7753846153846153
13,F,1997-12-21,0.8746492048643593
14,F,1997-12-28,0.8195615514333895
15,F,1998-01-04,0.7901234567901234
16,F,1998-01-11,0.8037974683544303
17,F,1998-01-18,0.8090277777777778
18,F,1998-01-25,0.580327868852459
19,F,1998-02-01,0.7598152424942263
20,F,1998-02-08,0.7136363636363636
21,F,1998-02-15,0.8311688311688312
22,F,1998-02-22,0.7703464947622884
23,F,1998-03-01,0.8442211055276382
24,F,1998-03-08,0.755939524838013
25,F,1998-03-15,0.7043189368770764
26,F,1998-03-22,0.6872037914691943
27,F,1998-03-29,0.7663690476190477
28,F,1998-04-05,0.7439539347408829
29,F,1998-04-12,0.774798927613941
30,F,1998-04-19,0.6890156918687589
31,F,1998-04-26,0.7358916478555305
32,M,1997-09-21,0.8042553191489362
33,M,1997-09-28,0.7659446450060169
34,M,1997-10-05,0.8247422680412371
35,M,1997-10-12,0.8345864661654135
36,M,1997-10-19,0.7938988095238095
37,M,1997-10-26,0.8350515463917526
38,M,1997-11-02,0.8418124006359301
39,M,1997-11-09,0.7299837925445705
40,M,1997-11-16,0.8390001552553952
41,M,1997-11-23,0.8481790258885477
42,M,1997-11-30,0.8547589616810878
43,M,1997-12-07,0.8356694055099082
44,M,1997-12-14,0.8283492822966507
45,M,1997-12-21,0.796383363471971
46,M,1997-12-28,0.8352272727272727
47,M,1998-01-04,0.7899221934049648
48,M,1998-01-11,0.794953596287703
49,M,1998-01-18,0.7861969111969112
50,M,1998-01-25,0.7808455565142364
51,M,1998-02-01,0.772419627749577
52,M,1998-02-08,0.8016288539848749
53,M,1998-02-15,0.7470651013874067
54,M,1998-02-22,0.8323013415892673
55,M,1998-03-01,0.7397913561847989
56,M,1998-03-08,0.7398286937901499
57,M,1998-03-15,0.811948404616429
58,M,1998-03-22,0.7632241813602015
59,M,1998-03-29,0.7682119205298014
60,M,1998-04-05,0.7796196977084349
61,M,1998-04-12,0.7755102040816326
62,M,1998-04-19,0.7272727272727273
63,M,1998-04-26,0.75
