gender,datetime,1D,10D,1W,2W,1M,3M,6M,1Y
F,1998-01-14,0.7391304347826086,,,,,,,
F,1998-01-15,0.8198757763975155,,,,,,,
F,1998-01-16,0.8,,,,,,,
F,1998-01-17,0.8163265306122449,,,,,,,
F,1998-01-18,1.0,0.6025544703230654,0.8090277777777778,,,,,
F,1998-01-21,0.72,,,,,,,
F,1998-01-22,0.5,,,,,,,
F,1998-01-23,0.4921259842519685,,,,,,,
F,1998-01-24,0.7251655629139073,,,,,,,
F,1998-01-25,0.7364341085271318,,0.580327868852459,0.6536748329621381,,,,
F,1998-01-26,0.8214285714285714,,,,,,,
F,1998-01-27,0.8666666666666667,,,,,,,
F,1998-01-28,0.8611111111111112,0.7497879558948262,,,,,,
F,1998-01-29,0.9411764705882353,,,,,,,
F,1998-01-30,0.7084870848708487,,,,,,,
F,1998-01-31,0.8175182481751825,,,,0.7247007616974973,,,
F,1998-02-01,0.7352941176470589,,0.7598152424942263,,,,,
F,1998-02-02,0.7317073170731707,,,,,,,
F,1998-02-03,0.7467532467532467,,,,,,,
F,1998-02-04,0.8181818181818182,,,,,,,
F,1998-02-05,0.96,,,,,,,
F,1998-02-06,0.5681818181818182,,,,,,,
F,1998-02-07,,0.8121387283236994,,,,,,
F,1998-02-08,0.21428571428571427,,0.7136363636363636,0.7442572741194488,,,,
F,1998-02-09,0.65625,,,,,,,
F,1998-02-10,0.8253968253968254,,,,,,,
F,1998-02-12,0.8260869565217391,,,,,,,
F,1998-02-13,0.7692307692307693,,,,,,,
F,1998-02-14,0.8583815028901735,,,,,,,
F,1998-02-15,0.7959183673469388,,0.8311688311688312,,,,,
F,1998-02-16,0.864,,,,,,,
F,1998-02-17,0.9,0.7724189902034665,,,,,,
F,1998-02-18,0.8746803069053708,,,,,,,
F,1998-02-19,0.7829181494661922,,,,,,,
F,1998-02-20,0.125,,,,,,,
F,1998-02-21,0.6954887218045113,,,,,,,
F,1998-02-22,0.56875,,0.7703464947622884,0.7887640449438202,,,,
F,1998-02-23,1.0,,,,,,,
F,1998-02-26,0.8380952380952381,,,,,,,
F,1998-02-27,0.8611111111111112,0.7830769230769231,,,,,,
F,1998-02-28,0.8407079646017699,,,,0.7792607802874744,,,
F,1998-03-01,1.0,,0.8442211055276382,,,,,
F,1998-03-02,0.6507936507936508,,,,,,,
F,1998-03-03,0.7631578947368421,,,,,,,
F,1998-03-04,0.8333333333333334,,,,,,,
F,1998-03-05,0.7640449438202247,,,,,,,
F,1998-03-06,1.0,,,,,,,
F,1998-03-07,0.7288135593220338,,,,,,,
F,1998-03-08,0.7540983606557377,,0.755939524838013,0.7967479674796748,,,,
F,1998-03-09,1.0,0.7017543859649122,,,,,,
F,1998-03-10,0.8235294117647058,,,,,,,
F,1998-03-11,1.0,,,,,,,
F,1998-03-12,0.0,,,,,,,
F,1998-03-13,0.8461538461538461,,,,,,,
F,1998-03-14,0.6086956521739131,,,,,,,
F,1998-03-15,0.6666666666666666,,0.7043189368770764,,,,,
F,1998-03-16,0.7046413502109705,,,,,,,
F,1998-03-17,0.7037037037037037,,,,,,,
F,1998-03-18,0.5454545454545454,,,,,,,
F,1998-03-19,0.6,0.7541729893778453,,,,,,
F,1998-03-20,0.6666666666666666,,,,,,,
F,1998-03-21,0.4666666666666667,,,,,,,
F,1998-03-22,0.6,,0.6872037914691943,0.69432918395574,,,,
F,1998-03-23,0.6923076923076923,,,,,,,
F,1998-03-24,0.8095238095238095,,,,,,,
F,1998-03-26,1.0,,,,,,,
F,1998-03-27,0.7677543186180422,,,,,,,
F,1998-03-28,0.7446808510638298,,,,,,,
F,1998-03-29,0.7692307692307693,0.7516430300933933,0.7663690476190477,,,,,
F,1998-03-30,0.7978883861236803,,,,,,,
F,1998-03-31,0.699228791773779,,,,0.7451923076923077,0.7477392218717139,0.7922510436699658,
F,1998-04-01,0.7098865478119936,,,,,,,
F,1998-04-02,0.7297872340425532,,,,,,,
F,1998-04-03,0.7391304347826086,,,,,,,
F,1998-04-04,0.7785714285714286,,,,,,,
F,1998-04-05,1.0,,0.7439539347408829,0.7485505035093073,,,,
F,1998-04-06,0.9166666666666666,,,,,,,
F,1998-04-07,0.8288288288288288,,,,,,,
F,1998-04-08,0.8571428571428571,0.6797066014669927,,,,,,
F,1998-04-09,0.9,,,,,,,
F,1998-04-10,0.676923076923077,,,,,,,
F,1998-04-11,0.6521739130434783,,,,,,,
F,1998-04-12,0.5882352941176471,,0.774798927613941,,,,,
F,1998-04-13,0.5182481751824818,,,,,,,
F,1998-04-14,0.7112676056338029,,,,,,,
F,1998-04-15,0.7068062827225131,,,,,,,
F,1998-04-16,0.6981132075471698,,,,,,,
F,1998-04-17,0.7864077669902912,,,,,,,
F,1998-04-18,0.8333333333333334,0.7462365591397849,,,,,,
F,1998-04-19,1.0,,0.6890156918687589,0.7188081936685289,,,,
F,1998-04-20,0.7350993377483444,,,,,,,
F,1998-04-21,0.9318181818181818,,,,,,,
F,1998-04-22,0.7016129032258065,,,,,,,
F,1998-04-26,,,0.7358916478555305,,,,,
F,1998-04-30,,,,,0.7280130293159609,,,
F,1998-05-03,,,,0.7358916478555305,,,,
F,1998-06-30,,,,,,0.7280130293159609,,
F,1998-09-30,,,,,,,0.7280130293159609,
F,1998-12-31,,,,,,,,0.7429252782193959
M,1997-09-20,0.8559027777777778,0.7794117647058824,,,,,,
M,1997-09-21,0.7685851318944844,,0.8042553191489362,0.8042553191489362,,,,
M,1997-09-22,0.6520912547528517,,,,,,,
M,1997-09-23,0.7348242811501597,,,,,,,
M,1997-09-24,0.7671480144404332,,,,,,,
M,1997-09-25,0.775,,,,,,,
M,1997-09-26,0.7924170616113744,,,,,,,
M,1997-09-27,0.8017241379310345,,,,,,,
M,1997-09-28,0.9583333333333334,,0.7659446450060169,,,,,
M,1997-09-29,0.8217391304347826,,,,,,,
M,1997-09-30,0.8448275862068966,0.8258599508599509,,,0.7823325635103926,0.7823325635103926,0.7823325635103926,
M,1997-10-01,0.8582434514637904,,,,,,,
M,1997-10-02,0.7927710843373494,,,,,,,
M,1997-10-03,0.7407407407407407,,,,,,,
M,1997-10-04,0.8055172413793104,,,,,,,
M,1997-10-05,0.8394160583941606,,0.8247422680412371,0.7923841059602649,,,,
M,1997-10-06,0.8604651162790697,,,,,,,
M,1997-10-07,0.7803030303030303,,,,,,,
M,1997-10-08,0.8579545454545454,,,,,,,
M,1997-10-09,0.8501742160278746,,,,,,,
M,1997-10-10,0.7485714285714286,0.811520737327189,,,,,,
M,1997-10-11,0.8636363636363636,,,,,,,
M,1997-10-12,0.8712871287128713,,0.8345864661654135,,,,,
M,1997-10-13,0.8351648351648352,,,,,,,
M,1997-10-14,0.8838709677419355,,,,,,,
M,1997-10-15,0.8983050847457628,,,,,,,
M,1997-10-16,0.8073394495412844,,,,,,,
M,1997-10-17,0.7073170731707317,,,,,,,
M,1997-10-18,0.76953125,,,,,,,
M,1997-10-19,0.8666666666666667,,0.7938988095238095,0.8159863945578232,,,,
M,1997-10-20,0.84,0.8325678496868476,,,,,,
M,1997-10-21,0.8203883495145631,,,,,,,
M,1997-10-22,0.843915343915344,,,,,,,
M,1997-10-23,0.8674033149171271,,,,,,,
M,1997-10-24,0.8444444444444444,,,,,,,
M,1997-10-25,0.777292576419214,,,,,,,
M,1997-10-26,0.8435114503816794,,0.8350515463917526,,,,,
M,1997-10-27,0.7702702702702703,,,,,,,
M,1997-10-28,0.8888888888888888,,,,,,,
M,1997-10-29,0.8571428571428571,,,,,,,
M,1997-10-30,0.8043478260869565,0.7465502675302732,,,,,,
M,1997-10-31,1.0,,,,0.8226824955796919,,,
M,1997-11-01,0.8854166666666666,,,,,,,
M,1997-11-02,0.9081081081081082,,0.8418124006359301,0.8377942599161561,,,,
M,1997-11-03,0.825,,,,,,,
M,1997-11-04,1.0,,,,,,,
M,1997-11-05,0.7953125,,,,,,,
M,1997-11-06,0.8421985815602837,,,,,,,
M,1997-11-07,0.7815442561205274,,,,,,,
M,1997-11-08,0.5540950455005056,,,,,,,
M,1997-11-09,0.8541666666666666,0.8418938656280428,0.7299837925445705,,,,,
M,1997-11-10,0.846286701208981,,,,,,,
M,1997-11-11,0.869281045751634,,,,,,,
M,1997-11-12,0.8590116279069767,,,,,,,
M,1997-11-13,0.842688594923132,,,,,,,
M,1997-11-14,0.82356608478803,,,,,,,
M,1997-11-15,0.8174603174603174,,,,,,,
M,1997-11-16,0.8388429752066116,,0.8390001552553952,0.8036951501154734,,,,
M,1997-11-17,0.8752834467120182,,,,,,,
M,1997-11-18,0.8427787934186471,,,,,,,
M,1997-11-19,0.8833333333333333,0.8431221020092736,,,,,,
M,1997-11-20,0.8776595744680851,,,,,,,
M,1997-11-21,0.7947761194029851,,,,,,,
M,1997-11-22,0.8387978142076503,,,,,,,
M,1997-11-23,0.8668730650154799,,0.8481790258885477,,,,,
M,1997-11-24,0.8436213991769548,,,,,,,
M,1997-11-25,0.8683127572016461,,,,,,,
M,1997-11-26,0.8378378378378378,,,,,,,
M,1997-11-27,0.8088642659279779,,,,,,,
M,1997-11-28,0.8421052631578947,,,,,,,
M,1997-11-29,0.8407407407407408,0.853841349156777,,,,,,
