white_time_decay,white_traditional,black_time_decay,black_traditional,hispanic_time_decay,hispanic_traditional
0.2971014492753623,0.2971014492753623,0.5485714285714286,0.5485714285714286,0.2413793103448276,0.2413793103448276
0.3074712643678161,0.3142857142857143,0.5333333333333333,0.5257142857142857,0.23809523809523808,0.23684210526315788
0.2661290322580645,0.23846153846153847,0.5114309906858594,0.49390243902439024,0.2398190045248869,0.2413793103448276
0.24191919191919192,0.22302158273381295,0.48450704225352115,0.4601226993865031,0.24955752212389382,0.2558139534883721
0.2365005192107996,0.23076923076923078,0.491796292350309,0.5,0.18086124401913875,0.1
0.2140035118525022,0.09090909090909091,0.46322030757828425,0.2727272727272727,0.19555829734731647,0.2222222222222222
0.22493036211699163,0.24390243902439024,0.4757606638520891,0.5217391304347826,0.20254893035958124,0.2222222222222222
0.2919620616976432,0.32710280373831774,0.4729087642243961,0.47183098591549294,0.23343397425711107,0.25
0.2509020090200902,0.22018348623853212,0.4474810262550846,0.4274193548387097,0.23337865884205253,0.23333333333333334
0.23035833300662564,0.21153846153846154,0.44530614984228306,0.44370860927152317,0.14357513821410622,0.06451612903225806
0.22546183788898685,0.21951219512195122,0.43876665591480896,0.42857142857142855,0.19903498190591074,0.29411764705882354
0.18893507779718002,0.16417910447761194,0.36183278004737146,0.2815533980582524,0.3310953789565815,0.47619047619047616
0.1997928243788196,0.21212121212121213,0.39373805543895013,0.4214876033057851,0.21600662593531772,0.09523809523809523
0.20512887805552496,0.21176470588235294,0.38143910808430076,0.3697478991596639,0.2616474678702361,0.30434782608695654
0.19113044113832348,0.17333333333333334,0.34586925388430684,0.3,0.1596847680217371,0.09090909090909091
0.2005166759920958,1.0,0.34254454504198334,0.0,0.15410714685444388,0.0
0.2005166759920958,,0.34254454504198334,,0.15410714685444388,
0.2005166759920958,,0.34254454504198334,,0.15410714685444388,
0.2005166759920958,,0.34254454504198334,,0.15410714685444388,
0.2005166759920958,,0.34254454504198334,,0.15410714685444388,
0.2005166759920958,,0.34254454504198334,,0.15410714685444388,
0.2005166759920958,,0.34254454504198334,,0.15410714685444388,
0.2005166759920958,,0.34254454504198334,,0.15410714685444388,
0.2005166759920958,,0.34254454504198334,,0.15410714685444388,
