alpha,male_time_decay,female_time_decay
0.1,"[0.8959, 0.879990909090909, 0.874954054054054, 0.9069486048604861, 0.9101448924489245, 0.9059644850644851, 0.9162564495356449, 0.9286256450772564, 0.9326525645117525, 0.9346752564513775, 0.9433375256452243, 0.9550037525645341, 0.9639103752564544, 0.9657910375256454, 0.9644689671187607]","[0.926, 0.9304545454545454, 0.9365315315315316, 0.9376732673267326, 0.9314872648726487, 0.9377087327087327, 0.9463408741340873, 0.9538640874886408, 0.9618164087568163, 0.9609016408755902, 0.9535201640874852, 0.9543120164087493, 0.9534012016408748, 0.9263101201640872, 0.913847431665309]"
0.3,"[0.8959, 0.8824384615384616, 0.8766553956834533, 0.9005400846859563, 0.9075290084906322, 0.9061076663887975, 0.9140140290381507, 0.9252049429473067, 0.9307315916652187, 0.9336494947294914, 0.9411048616258062, 0.9517414641404686, 0.9609524407106678, 0.9644857323821966, 0.964204647866556]","[0.926, 0.9297692307692308, 0.9351151079136691, 0.9370098800282287, 0.9326523752719107, 0.9366786477341982, 0.9441152206987669, 0.9515250523686859, 0.9593476696831824, 0.9603643069080958, 0.954999282568449, 0.9545797845475963, 0.9536839352214516, 0.9324151795491574, 0.9262825777750029]"
0.5,"[0.8959, 0.8842333333333333, 0.8786142857142857, 0.89562, 0.9033, 0.9044174603174603, 0.9109598425196851, 0.9205172549019608, 0.9268209393346379, 0.9308644183773216, 0.937585490962384, 0.9469450305250305, 0.9559236112806739, 0.9609621131660868, 0.9611473858856693]","[0.926, 0.9292666666666667, 0.9338, 0.9359333333333333, 0.9332838709677419, 0.9358825396825396, 0.941636220472441, 0.9481937254901961, 0.9554610567514678, 0.958133137829912, 0.9554152418172936, 0.954907496947497, 0.9541036503479429, 0.9387008850637857, 0.9351824275583474]"
0.7,"[0.8959, 0.8856058823529411, 0.8804890410958903, 0.8923370311883143, 0.8988867296527352, 0.9011352465175423, 0.9064525776451631, 0.9139489556243204, 0.9199358622126348, 0.924555599698508, 0.9305984058102303, 0.9384171049271771, 0.9464397036137878, 0.9523478630299929, 0.9527884876899603]","[0.926, 0.9288823529411765, 0.9326803652968036, 0.9347015396762732, 0.9332946161335689, 0.935030450466991, 0.9390416552924511, 0.9440265266166626, 0.949864137278115, 0.9532402632985072, 0.9530749148294573, 0.953478019873304, 0.9534240914037077, 0.9443251528821578, 0.9424916470352376]"
0.9,"[0.8959, 0.8866894736842105, 0.8821546125461255, 0.8903969467868567, 0.8953059974115407, 0.8974816044510937, 0.9012995605929887, 0.9063388559436587, 0.9107074552153932, 0.9144218332237491, 0.9187760489265859, 0.9240053543371508, 0.9294885817398144, 0.9342227492391193, 0.9346314538027543]","[0.926, 0.9285789473684211, 0.9317601476014761, 0.9335164291945334, 0.9328530927205685, 0.9340369153084243, 0.9365791821056842, 0.9397608808967786, 0.9435055570884087, 0.9461608419701569, 0.9471138088904537, 0.948129206190088, 0.9488225154938484, 0.9455131983237938, 0.944866803989077]"
1,"[0.8959, 0.88715, 0.8829, 0.8898, 0.89394, 0.8958666666666667, 0.8989428571428572, 0.902825, 0.9061888888888889, 0.90906, 0.9122636363636364, 0.9159333333333334, 0.9197, 0.9230071428571428, 0.923290780141844]","[0.926, 0.92845, 0.9313666666666667, 0.932975, 0.93254, 0.9335166666666667, 0.9354857142857143, 0.9378875, 0.9406444444444444, 0.94266, 0.9435727272727272, 0.944475, 0.9451538461538461, 0.9435928571428571, 0.9432836879432624]"
traditional,"[0.8959, 0.8784, 0.8744, 0.9105, 0.9105, 0.9055, 0.9174, 0.93, 0.9331, 0.9349, 0.9443, 0.9563, 0.9649, 0.966, 0.963]","[0.926, 0.9309, 0.9372, 0.9378, 0.9308, 0.9384, 0.9473, 0.9547, 0.9627, 0.9608, 0.9527, 0.9544, 0.9533, 0.9233, 0.9]"
