window_size,black_time_decay,white_time_decay,hispanic_time_decay
2 week,"[0.5194805194805194, 0.5462555066079295, 0.5475792988313857, 0.5488297013720742, 0.4890131841789852, 0.5042364124819178, 0.4957415565345081, 0.48478691522324374, 0.4692570782009412, 0.5086330414646502, 0.48750849835196514, 0.46059314508968213, 0.40609286725952604, 0.4478883389277655, 0.46786044281219663, 0.43356442184802396, 0.5003955171433387, 0.4441198142193029, 0.4774680347632317, 0.37328297128704824, 0.4381121609420602, 0.4614501904044352, 0.4076741403809935, 0.46431816641267, 0.35709810465833813, 0.3206352514300775, 0.3279583014725546, 0.43679662027563076, 0.38800769088047005, 0.3866132001888655, 0.3835390560219911, 0.35910241033978185, 0.32994311257546516, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214, 0.29656189647695214]","[0.29310344827586204, 0.29081632653061223, 0.2912371134020619, 0.3239910313901345, 0.30125284738041, 0.25967007963594996, 0.24814520402755696, 0.21593406593406594, 0.244428077366466, 0.19360847862258554, 0.2299509785148022, 0.18915193901017546, 0.20163390509578064, 0.1800480677768336, 0.25371983735699194, 0.3540264211800989, 0.2698462258854064, 0.2946030604179433, 0.22960982275820177, 0.2367533598623441, 0.21415585338760376, 0.22678116042746252, 0.2154864515149391, 0.19842954517727915, 0.20321986897936933, 0.17354897529115662, 0.17285541417263695, 0.2122808935408972, 0.20876693205461555, 0.19459903176382531, 0.21742621027377118, 0.20375534482703692, 0.15881365261135333, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188, 0.20511712288775188]","[0.07692307692307693, 0.2972972972972973, 0.21904761904761905, 0.24567474048442905, 0.2716297786720322, 0.18955732122587968, 0.2473336719146775, 0.21013268998793727, 0.2832764505119454, 0.18044136737343142, 0.15254445502288014, 0.1851670242108489, 0.26129257278523615, 0.27794974080102364, 0.15696911412312908, 0.19680162940546986, 0.20825488621151272, 0.23546287789978532, 0.26629280393861515, 0.1781582579469111, 0.07666432835576109, 0.15074536073372513, 0.2341058388926745, 0.2544461842376153, 0.4657649046407504, 0.39136461026503877, 0.3500382212738257, 0.24821415296747598, 0.11172878156673213, 0.19514009950913208, 0.2650161458736738, 0.18371114427634105, 0.1536623109273251, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096, 0.08955914252827096]"
1 month,"[0.5485714285714286, 0.5333333333333333, 0.5114309906858594, 0.48450704225352115, 0.491796292350309, 0.46322030757828425, 0.4757606638520891, 0.4729087642243961, 0.4474810262550846, 0.44530614984228306, 0.43876665591480896, 0.36183278004737146, 0.39373805543895013, 0.38143910808430076, 0.34586925388430684, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334, 0.34254454504198334]","[0.2971014492753623, 0.3074712643678161, 0.2661290322580645, 0.24191919191919192, 0.2365005192107996, 0.2140035118525022, 0.22493036211699163, 0.2919620616976432, 0.2509020090200902, 0.23035833300662564, 0.22546183788898685, 0.18893507779718002, 0.1997928243788196, 0.20512887805552496, 0.19113044113832348, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958, 0.2005166759920958]","[0.2413793103448276, 0.23809523809523808, 0.2398190045248869, 0.24955752212389382, 0.18086124401913875, 0.19555829734731647, 0.20254893035958124, 0.23343397425711107, 0.23337865884205253, 0.14357513821410622, 0.19903498190591074, 0.3310953789565815, 0.21600662593531772, 0.2616474678702361, 0.1596847680217371, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388, 0.15410714685444388]"
2 month,"[0.5371428571428571, 0.49800796812749004, 0.48661800486618007, 0.48313090418353577, 0.4551873981531776, 0.4069523524123464, 0.40100320468162187, 0.3708989989097036, 0.3708989989097036, 0.3708989989097036, 0.3708989989097036, 0.3708989989097036]","[0.3045267489711934, 0.2535211267605634, 0.23485415108451757, 0.2673542245140817, 0.23781413391803002, 0.2094852425823534, 0.21066742495023763, 0.20317367884699375, 0.20317367884699375, 0.20317367884699375, 0.20317367884699375, 0.20317367884699375]","[0.23880597014925373, 0.24644549763033174, 0.19851116625310175, 0.2188782489740082, 0.17809021675454012, 0.2682175846732809, 0.23697508276703258, 0.17282727182637994, 0.17282727182637994, 0.17282727182637994, 0.17282727182637994, 0.17282727182637994]"
4 month,"[0.5081240768094535, 0.49133383571966843, 0.4384251968503937, 0.4066632320109909, 0.4066632320109909, 0.4066632320109909]","[0.265625, 0.26151012891344383, 0.22412562455389007, 0.2154854567800082, 0.2154854567800082, 0.2154854567800082]","[0.2446043165467626, 0.21451104100946372, 0.2300140252454418, 0.1944652206432311, 0.1944652206432311, 0.1944652206432311]"
6 month,"[0.5005973715651135, 0.4528933524629364, 0.42020497803806733, 0.42020497803806733]","[0.2534562211981567, 0.2365650969529086, 0.22460456942003515, 0.22460456942003515]","[0.2192513368983957, 0.2334047109207709, 0.20154043645699615, 0.20154043645699615]"
8 month,"[0.49700598802395207, 0.42967542503863987, 0.42967542503863987]","[0.26282853566958697, 0.22416169039963252, 0.22416169039963252]","[0.2236842105263158, 0.211340206185567, 0.211340206185567]"
12 month,"[0.46653005464480873, 0.43603010348071497]","[0.24104234527687296, 0.2299771167048055]","[0.22935779816513763, 0.20496894409937888]"
24 month,[0.44846796657381616],[0.23454301075268819],[0.21481481481481482]
