window_size,male_time_decay,female_time_decay
2 year,"[0.9065, 0.9055, 0.9003571428571429, 0.8951, 0.8878225806451613, 0.8838492063492064, 0.8829173228346456, 0.8804490196078432, 0.8812260273972603, 0.8756075268817204, 0.8735527601367855, 0.8697754578754578, 0.8763885361982664, 0.8746941646829031, 0.8765971404156621, 0.8840486839093614, 0.8985244523960296, 0.9072622595301038, 0.9111311371443503, 0.9140655713706697, 0.9135327854312827, 0.9145163929501516, 0.9135081963548894, 0.9090040979089795, 0.9080020489246263, 0.9057510244287703, 0.9071255122246259, 0.9048127561036973, 0.90565637805342, 0.9060781890271028, 0.9055390945133004, 0.9085195472573442, 0.9122597736291075, 0.9178798868148809, 0.9244399434076314, 0.9277199717038634, 0.9278599858519327, 0.9304299929259757, 0.9292149964629857, 0.9296074982314931, 0.9288037491157463, 0.9294018745578733, 0.932950937278937, 0.9339754686394686, 0.9349877343197344, 0.9344938671598672, 0.9337469335799337, 0.9316234667899668, 0.9343117333949834, 0.9376558666974917, 0.9398279333487458, 0.9429139666743729, 0.9429569833371865, 0.9452284916685932, 0.9441142458342966, 0.9480571229171483, 0.9510285614585742, 0.9530142807292871, 0.9550071403646435, 0.9592535701823217, 0.9621267850911609, 0.9663133925455805, 0.9649066962727902, 0.9647033481363951, 0.9628516740681976, 0.9626758370340988, 0.9628379185170494, 0.9644189592585246, 0.9672094796292623, 0.9678547398146312, 0.966236493209754]","[0.922, 0.9246666666666666, 0.9277142857142857, 0.9276, 0.926, 0.9254920634920635, 0.926, 0.9287607843137254, 0.9303835616438356, 0.9349462365591398, 0.9329721543722521, 0.9354866910866911, 0.9364934684409718, 0.9382468412378685, 0.9388734397412031, 0.9379367055771725, 0.9379683530300371, 0.9389841803900925, 0.9392420906869711, 0.9368710430822783, 0.9354355208566288, 0.9344677601975823, 0.9342338800709105, 0.9318669398943746, 0.9274334698150596, 0.9292167349341025, 0.9323583674904582, 0.9366791837613254, 0.9388395918846868, 0.9411697959445136, 0.9438348979734978, 0.9446674489869428, 0.9463337244936654, 0.9474168622468957, 0.9477084311234564, 0.948104215561734, 0.9498021077808794, 0.952901053890451, 0.9552005269452296, 0.957600263472617, 0.9613001317363102, 0.9636500658681556, 0.9635750329340778, 0.9620375164670388, 0.9602687582335193, 0.9586343791167596, 0.9603171895583799, 0.9611585947791899, 0.9613292973895949, 0.9614146486947974, 0.9594573243473987, 0.9559786621736993, 0.9524893310868496, 0.9504946655434249, 0.9532473327717125, 0.9573736663858563, 0.9566868331929281, 0.9550934165964641, 0.953046708298232, 0.951523354149116, 0.9525116770745581, 0.953255838537279, 0.9541279192686395, 0.9553139596343198, 0.9514069798171599, 0.94595348990858, 0.94022674495429, 0.9303633724771451, 0.9224316862385725, 0.9144658431192862, 0.9096438954128575]"
5 year,"[0.9048, 0.8929333333333334, 0.8856571428571428, 0.8808266666666666, 0.875858064516129, 0.8767428571428572, 0.8904787401574803, 0.9037913725490196, 0.9088054794520548, 0.9080019550342131, 0.9067003419638495, 0.9061500366300367, 0.9079752411183005, 0.9164881401452726, 0.9230442701498459, 0.9267221911955443, 0.9285611096276064, 0.9321805686209436, 0.932590285091944, 0.9346951445533224, 0.9393475744951126, 0.9419737878736943, 0.9474868945940608, 0.953543447658029, 0.960371724032513, 0.9614858620328585, 0.9623429310228149, 0.9655714655234346, 0.9651428879348651]","[0.9248, 0.9264, 0.9273142857142858, 0.9307733333333333, 0.9327483870967742, 0.9363301587301587, 0.9371716535433071, 0.9373866666666667, 0.9356900195694716, 0.9316410557184751, 0.9330212017586712, 0.937711746031746, 0.9419563911610304, 0.9451783922358542, 0.9481892880031739, 0.9531947203784238, 0.9593974075119591, 0.9595987045238668, 0.9597993526446393, 0.9606996771809361, 0.957249836945456, 0.9544249177992148, 0.956112459100778, 0.9535562293980259, 0.9536781147026454, 0.9532390573447802, 0.9440195286036993, 0.9279097642418361, 0.9232581368537562]"
10 year,"[0.8959, 0.8842333333333333, 0.8786142857142857, 0.89562, 0.9033, 0.9044174603174603, 0.9109598425196851, 0.9205172549019608, 0.9268209393346379, 0.9308644183773216, 0.937585490962384, 0.9469450305250305, 0.9559236112806739, 0.9609621131660868, 0.9611473858856693]","[0.926, 0.9292666666666667, 0.9338, 0.9359333333333333, 0.9332838709677419, 0.9358825396825396, 0.941636220472441, 0.9481937254901961, 0.9554610567514678, 0.958133137829912, 0.9554152418172936, 0.954907496947497, 0.9541036503479429, 0.9387008850637857, 0.9351824275583474]"
20 year,"[0.88715, 0.8906833333333334, 0.9005785714285715, 0.91291, 0.9237951612903226, 0.9372579365079365, 0.9514649606299213, 0.9520183658170914]","[0.92845, 0.9344833333333333, 0.93455, 0.9433233333333333, 0.952833870967742, 0.953197619047619, 0.9456901574803149, 0.9434981259370315]"
40 year,"[0.8898, 0.9071666666666667, 0.9271571428571429, 0.9414732142857143]","[0.932975, 0.939525, 0.9498821428571429, 0.9448549107142857]"
60 year,"[0.8898, 0.913875, 0.9362098765432099]","[0.932975, 0.94508125, 0.9449413580246914]"
80 year,"[0.8898, 0.92116, 0.9342253521126761]","[0.932975, 0.946775, 0.9437288732394367]"
100 year,"[0.88715, 0.91855, 0.9314769736842106]","[0.92845, 0.9459318181818182, 0.9433190789473684]"
